year, value
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,73
2004-07,37
2004-08,0
2004-09,56
2004-10,0
2004-11,0
2004-12,0
2005-01,38
2005-02,26
2005-03,0
2005-04,0
2005-05,33
2005-06,0
2005-07,26
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,24
2006-02,0
2006-03,34
2006-04,0
2006-05,0
2006-06,17
2006-07,23
2006-08,23
2006-09,0
2006-10,0
2006-11,0
2006-12,13
2007-01,0
2007-02,0
2007-03,40
2007-04,14
2007-05,11
2007-06,15
2007-07,13
2007-08,9
2007-09,0
2007-10,12
2007-11,15
2007-12,0
2008-01,8
2008-02,26
2008-03,23
2008-04,8
2008-05,15
2008-06,14
2008-07,0
2008-08,19
2008-09,31
2008-10,15
2008-11,16
2008-12,0
2009-01,10
2009-02,10
2009-03,16
2009-04,29
2009-05,17
2009-06,8
2009-07,30
2009-08,17
2009-09,12
2009-10,23
2009-11,15
2009-12,8
2010-01,11
2010-02,17
2010-03,31
2010-04,10
2010-05,11
2010-06,14
2010-07,22
2010-08,13
2010-09,21
2010-10,14
2010-11,24
2010-12,25
2011-01,16
2011-02,22
2011-03,20
2011-04,17
2011-05,18
2011-06,17
2011-07,19
2011-08,24
2011-09,27
2011-10,20
2011-11,18
2011-12,27
2012-01,28
2012-02,17
2012-03,25
2012-04,23
2012-05,30
2012-06,16
2012-07,27
2012-08,29
2012-09,25
2012-10,24
2012-11,28
2012-12,12
2013-01,20
2013-02,21
2013-03,30
2013-04,28
2013-05,26
2013-06,27
2013-07,26
2013-08,28
2013-09,28
2013-10,27
2013-11,26
2013-12,18
2014-01,24
2014-02,33
2014-03,28
2014-04,27
2014-05,35
2014-06,29
2014-07,25
2014-08,33
2014-09,29
2014-10,35
2014-11,30
2014-12,28
2015-01,24
2015-02,35
2015-03,40
2015-04,34
2015-05,42
2015-06,40
2015-07,37
2015-08,29
2015-09,39
2015-10,45
2015-11,49
2015-12,33
2016-01,46
2016-02,39
2016-03,44
2016-04,46
2016-05,51
2016-06,43
2016-07,42
2016-08,36
2016-09,46
2016-10,44
2016-11,50
2016-12,44
2017-01,44
2017-02,56
2017-03,62
2017-04,61
2017-05,48
2017-06,66
2017-07,47
2017-08,54
2017-09,52
2017-10,54
2017-11,71
2017-12,56
2018-01,57
2018-02,69
2018-03,71
2018-04,70
2018-05,58
2018-06,63
2018-07,66
2018-08,64
2018-09,61
2018-10,73
2018-11,69
2018-12,62
2019-01,66
2019-02,74
2019-03,66
2019-04,69
2019-05,61
2019-06,70
2019-07,70
2019-08,71
2019-09,62
2019-10,64
2019-11,76
2019-12,60
2020-01,64
2020-02,71
2020-03,64
2020-04,79
2020-05,66
2020-06,72
2020-07,86
2020-08,69
2020-09,68
2020-10,66
2020-11,54
2020-12,43
2021-01,49
2021-02,53
2021-03,47
2021-04,77
2021-05,57
2021-06,53
2021-07,46
2021-08,52
2021-09,52
2021-10,61
2021-11,51
2021-12,55
2022-01,69
2022-02,82
2022-03,92
2022-04,90
2022-05,85
2022-06,94
2022-07,74
2022-08,76
2022-09,77
2022-10,78
2022-11,100
2022-12,77
2023-01,74
2023-02,77
2023-03,89
2023-04,89
2023-05,84
2023-06,77
2023-07,71
2023-08,65
2023-09,62
2023-10,79
2023-11,74
2023-12,64
2024-01,66
